project,window,window_start,window_end,person,github_login,organization,organization_aggregated,org_source,contributions,contribution_pct,roles,email_domain,github_company,git_commits,first_commit,last_commit,source
Luigi,all,,,JohannesDoberer,JohannesDoberer,SAP,SAP,email-domain,10836,21.61,maintainer,sap.com,SAP,622,2019-01-28,2026-08-17,lfx
Luigi,all,,,Philipp Pracht,hardl,SAP,SAP,email-domain,5369,10.71,maintainer,sap.com,,498,2018-08-10,2026-08-19,lfx
Luigi,all,,,walmazacn,walmazacn,SAP,SAP,email-domain,5284,10.54,maintainer,sap.com,,224,2024-05-17,2026-09-04,lfx
Luigi,all,,,Markus Edenhauser,maxmarkus,Snk Interactive,Snk Interactive,commit-search,3915,7.81,,snk-interactive.de,,192,2018-08-01,2021-03-24,lfx
Luigi,all,,,ndricimrr,ndricimrr,SAP,SAP,same-person,2785,5.55,maintainer,sap.com,,6,2020-04-08,2021-09-27,lfx
Luigi,all,,,ndricim-rr,ndricim-rr,SAP,SAP,email-domain,2439,4.86,,sap.com,,193,2019-12-12,2025-08-01,lfx
Luigi,all,,,alexandra-simeonova,alexandra-simeonova,SAP,SAP,email-domain,2379,4.74,,sap.com,SAP,174,2019-08-20,2023-12-07,lfx
Luigi,all,,,Uliana Cáceres 🇺🇦,UlianaMunich,Uliana,Individual,personal-domain,2151,4.29,,uliana.me,,104,2020-04-20,2022-06-28,lfx
Luigi,all,,,Jesús Real Serrano,jesusreal,Individual,Individual,individual,1284,2.56,,users.noreply.github.com,,53,2018-07-31,2019-09-05,lfx
Luigi,all,,,stanleychh,stanleychh,SAP,SAP,email-domain,1222,2.44,,sap.com,,48,2020-07-07,2022-08-22,lfx
Luigi,all,,,Peter Kurajsky,pekura,SAP,SAP,email-domain,1161,2.32,maintainer,sap.com,,77,2018-08-09,2019-12-18,lfx
Luigi,all,,,marynaKhromova,marynaKhromova,Individual,Individual,individual,1055,2.1,,,,47,2019-03-07,2020-05-29,lfx
